Cage,Treatment,Day,Change
8,M,4,-0.018792105
8,P,4,-0.084142774
9,A,4,-0.004945711
9,U,4,-0.003773804
9,M,4,-0.027722995
9,P,4,-0.069921782
10,A,4,-0.005595476
10,U,4,-0.006523712
10,M,4,-0.021298641
10,P,4,-0.106743496
11,EA,4,-0.001639159
11,EU,4,-0.00393948
11,EM,4,-0.026321852
11,EP,4,-0.095908366
12,EA,4,-0.000233481
12,EU,4,-0.001413344
12,EM,4,-0.025921105
12,EP,4,-0.054519532
13,EA,4,-0.001792014
13,EU,4,-0.00023092
13,EM,4,-0.019690577
13,EP,4,-0.023864511
14,EA,4,-0.001797699
14,EU,4,-0.001778645
14,EM,4,-0.019929929
14,EP,4,-0.063120143
15,EA,4,-0.001363636
15,EU,4,-0.002643678
15,EM,4,-0.014714205
15,EP,4,-0.059759093
