Cage,Observation,Time,Day,Treatment,TimeSpent
8,3,PM,3,Pollen,0
9,1,PM,3,Pollen,0
9,2,PM,3,Pollen,0
9,3,PM,3,Pollen,0
10,1,PM,3,Pollen,51
10,2,PM,3,Pollen,300
10,3,PM,3,Pollen,0
1,1,AM,4,Pollen,0
1,2,AM,4,Pollen,0
1,3,AM,4,Pollen,0
2,1,AM,4,Pollen,138
2,2,AM,4,Pollen,113
2,3,AM,4,Pollen,44
3,1,AM,4,Pollen,137
3,2,AM,4,Pollen,0
3,3,AM,4,Pollen,0
4,1,AM,4,Pollen,0
4,2,AM,4,Pollen,0
4,3,AM,4,Pollen,0
5,1,AM,4,Pollen,232
5,2,AM,4,Pollen,0
5,3,AM,4,Pollen,0
6,1,AM,4,Pollen,189
6,2,AM,4,Pollen,0
6,3,AM,4,Pollen,0
7,1,AM,4,Pollen,11
7,2,AM,4,Pollen,93
7,3,AM,4,Pollen,0
8,1,AM,4,Pollen,0
8,2,AM,4,Pollen,0
8,3,AM,4,Pollen,0
9,1,AM,4,Pollen,0
9,2,AM,4,Pollen,0
9,3,AM,4,Pollen,0
10,1,AM,4,Pollen,80
10,2,AM,4,Pollen,215
10,3,AM,4,Pollen,300
1,1,PM,4,Pollen,0
1,2,PM,4,Pollen,0
1,3,PM,4,Pollen,0
2,1,PM,4,Pollen,47
2,2,PM,4,Pollen,0
2,3,PM,4,Pollen,0
3,1,PM,4,Pollen,154
3,2,PM,4,Pollen,0
3,3,PM,4,Pollen,0
4,1,PM,4,Pollen,8
4,2,PM,4,Pollen,79
4,3,PM,4,Pollen,0
5,1,PM,4,Pollen,300
5,2,PM,4,Pollen,0
5,3,PM,4,Pollen,0
6,1,PM,4,Pollen,0
6,2,PM,4,Pollen,0
6,3,PM,4,Pollen,0
7,1,PM,4,Pollen,300
7,2,PM,4,Pollen,0
7,3,PM,4,Pollen,0
8,1,PM,4,Pollen,0
8,2,PM,4,Pollen,0
8,3,PM,4,Pollen,0
9,1,PM,4,Pollen,0
9,2,PM,4,Pollen,0
9,3,PM,4,Pollen,0
10,1,PM,4,Pollen,300
10,2,PM,4,Pollen,0
10,3,PM,4,Pollen,0
1,1,AM,1,Ap23,0
1,2,AM,1,Ap23,0
1,3,AM,1,Ap23,0
2,1,AM,1,Ap23,0
2,2,AM,1,Ap23,0
2,3,AM,1,Ap23,0
3,1,AM,1,Ap23,0
3,2,AM,1,Ap23,0
3,3,AM,1,Ap23,0
4,1,AM,1,Ap23,0
4,2,AM,1,Ap23,0
4,3,AM,1,Ap23,0
5,1,AM,1,Ap23,0
5,2,AM,1,Ap23,0
5,3,AM,1,Ap23,0
6,1,AM,1,Ap23,0
6,2,AM,1,Ap23,0
6,3,AM,1,Ap23,0
7,1,AM,1,Ap23,0
7,2,AM,1,Ap23,0
7,3,AM,1,Ap23,0
8,1,AM,1,Ap23,0
8,2,AM,1,Ap23,0
8,3,AM,1,Ap23,0
9,1,AM,1,Ap23,0
9,2,AM,1,Ap23,0
9,3,AM,1,Ap23,0
10,1,AM,1,Ap23,0
10,2,AM,1,Ap23,0
10,3,AM,1,Ap23,0
1,1,PM,1,Ap23,0
1,2,PM,1,Ap23,0
1,3,PM,1,Ap23,0
2,1,PM,1,Ap23,0
2,2,PM,1,Ap23,0
2,3,PM,1,Ap23,0
3,1,PM,1,Ap23,0
3,2,PM,1,Ap23,0
3,3,PM,1,Ap23,0
4,1,PM,1,Ap23,0
4,2,PM,1,Ap23,0
4,3,PM,1,Ap23,0
5,1,PM,1,Ap23,0
5,2,PM,1,Ap23,0
5,3,PM,1,Ap23,0
6,1,PM,1,Ap23,0
6,2,PM,1,Ap23,0
